127.0.0.1 - - [24/Apr/2017:08:45:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:10 +0530] "GET /JspExample HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:10 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:26 +0530] "GET /JspExample/Login.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:46 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:48 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:48 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:48 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:49 +0530] "GET /JspExample/ HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:46:59 +0530] "GET /JspExample/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:48:16 +0530] "GET /JspExample/Sample.jsp?uname=ihifhif HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:48:52 +0530] "GET /JspExample/Login.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:48:55 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [24/Apr/2017:08:49:49 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:01:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:01:26 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:01:42 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:03:59 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:05:28 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:12:42 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:12:48 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:31:54 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:32:00 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:34:16 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:34:21 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:35:20 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:35:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:35:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:36:11 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:36:22 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:38:19 +0530] "GET /JspExample/Login.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [24/Apr/2017:09:38:21 +0530] "POST /JspExample/Sample.jsp HTTP/1.1" 200 195
